"sex","ln_age_coef","ln_totchol_coef","ln_hdl_coef","ln_untreated_sbp_coef","ln_treated_sbp_coef","smoker_coef","diabetic_coef","group_mean_coef","baseline_survival"
"female",2.32888,1.20904,-0.70833,2.76157,2.82263,0.52873,0.69154,26.1931,0.95012
"male",3.06117,1.1237,-0.93263,1.93303,1.99881,0.65451,0.57367,23.9802,0.88936
